20060111  062810.000
 
TOMS392_PRB
  Test TOMS algorithm 392, which approximates
  the time evolution of a system governed
  by hyperpolic PDE's.
1
 
       X               Y               U               V
    0.309501        0.290636        0.781021         2.61117    
    0.323221        0.294822        0.802864         2.64391    
    0.336973        0.299046        0.825308         2.67705    
    0.350759        0.303309        0.848326         2.71062    
    0.364577        0.307611        0.871942         2.74461    
    0.378430        0.311952        0.896187         2.77903    
    0.392318        0.316334        0.921044         2.81388    
    0.406240        0.320754        0.946567         2.84918    
    0.420200        0.325216        0.972764         2.88491    
    0.434197        0.329721        0.999662         2.92111    
    0.448232        0.334266         1.02721         2.95776    
    0.462305        0.338851         1.05554         2.99486    
    0.476419        0.343483         1.08449         3.03244    
    0.490572        0.348154         1.11435         3.07049    
    0.504768        0.352874         1.14506         3.10902    
    0.519005        0.357631         1.17645         3.14804    
    0.533285        0.362434         1.20854         3.18754    
    0.547612        0.367286         1.24182         3.22754    
    0.561980        0.372180         1.27570         3.26806    
    0.576397        0.377119         1.31057         3.30907    
    0.590864        0.382109         1.34641         3.35062    
    0.605373        0.387139         1.38318         3.39268    
    0.619935        0.392218         1.42101         3.43526    
    0.634549        0.397343         1.45978         3.47838    
    0.649209        0.402512         1.49953         3.52204    
    0.663922        0.407724         1.54040         3.56627    
    0.678695        0.412999         1.58237         3.61105    
    0.693520        0.418318         1.62548         3.65639    
    0.708406        0.423689         1.66987         3.70229    
    0.723334        0.429089         1.71506         3.74880    
    0.738336        0.434568         1.76189         3.79584    
    0.753389        0.440052         1.80979         3.84351    
    0.768515        0.445645         1.85916         3.89177    
    0.783684        0.451233         1.90952         3.94066    
    0.798934        0.456909         1.96159         3.99013    
    0.814247        0.462614         2.01504         4.04024    
    0.829612        0.468371         2.06962         4.09100    
    0.845050        0.474179         2.12590         4.14236    
    0.860573        0.480054         2.18389         4.19440    
    0.876155        0.485965         2.24336         4.24707    
    0.891802        0.491923         2.30425         4.30044    
    0.907534        0.497945         2.36710         4.35442    
    0.923344        0.504015         2.43165         4.40912    
    0.939223        0.510136         2.49790         4.46450    
    0.955212        0.516338         2.56650         4.52053    
    0.971223        0.522523         2.63601         4.57736    
    0.987345        0.528804         2.70803         4.63483    
     1.00356        0.535133         2.78201         4.69311    
     1.01987        0.541532         2.85832         4.75202    
     1.03625        0.547973         2.93668         4.81168    
     1.05269        0.554417         3.01655         4.87219    
1
    0.222608        0.308278        0.758137         2.38085    
    0.236512        0.312889        0.779867         2.41062    
    0.250453        0.317536        0.802174         2.44076    
    0.264434        0.322223        0.825059         2.47128    
    0.278455        0.326948        0.848544         2.50219    
    0.292516        0.331714        0.872638         2.53350    
    0.306619        0.336520        0.897370         2.56520    
    0.320763        0.341364        0.922737         2.59729    
    0.334951        0.346252        0.948792         2.62980    
    0.349183        0.351181        0.975528         2.66272    
    0.363459        0.356151         1.00297         2.69605    
    0.377782        0.361166         1.03127         2.72981    
    0.392151        0.366221         1.06003         2.76399    
    0.406567        0.371320         1.08970         2.79861    
    0.421033        0.376463         1.12016         2.83366    
    0.435555        0.381660         1.15194         2.86915    
    0.450114        0.386880         1.18358         2.90510    
    0.464731        0.392157         1.21655         2.94150    
    0.479400        0.397476         1.25028         2.97836    
    0.494125        0.402855         1.28511         3.01568    
    0.508908        0.408271         1.32090         3.05347    
    0.523743        0.413731         1.35754         3.09173    
    0.538632        0.419234         1.39499         3.13049    
    0.553589        0.424798         1.43382         3.16972    
    0.568597        0.430392         1.47339         3.20947    
    0.583670        0.436050         1.51414         3.24970    
    0.598809        0.441749         1.55605         3.29045    
    0.614005        0.447496         1.59906         3.33169    
    0.629272        0.453297         1.64332         3.37346    
    0.644605        0.459143         1.68870         3.41577    
    0.659999        0.465033         1.73524         3.45861    
    0.675467        0.470978         1.78319         3.50198    
    0.691008        0.476973         1.83239         3.54591    
    0.706620        0.483016         1.88296         3.59038    
    0.722312        0.489115         1.93507         3.63538    
    0.738055        0.495236         1.98815         3.68102    
    0.753898        0.501444         2.04314         3.72718    
    0.769818        0.507689         2.09958         3.77394    
    0.785816        0.513990         2.15757         3.82127    
    0.801880        0.520317         2.21693         3.86923    
    0.818050        0.526734         2.27830         3.91775    
    0.834294        0.533156         2.34125         3.96691    
    0.850614        0.539659         2.40571         4.01671    
    0.867025        0.546194         2.47213         4.06711    
    0.883549        0.552807         2.54067         4.11813    
    0.900146        0.559443         2.61096         4.16979    
    0.916830        0.566137         2.68305         4.22214    
    0.933623        0.572889         2.75747         4.27509    
    0.950519        0.579691         2.83394         4.32877    
    0.967501        0.586536         2.91250         4.38309    
    0.984631        0.593478         2.99395         4.43804    
     1.00178        0.600377         3.07655         4.49380    
     1.01907        0.607375         3.16216         4.55016    
     1.03649        0.614427         3.25026         4.60730    
     1.05402        0.621541         3.34106         4.66510    
     1.07165        0.628684         3.43444         4.72361    
     1.08936        0.635848         3.52983         4.78298    
1
    0.276772        0.367780        0.948387         2.46132    
    0.291259        0.373149        0.975603         2.49204    
    0.305799        0.378557         1.00354         2.52315    
    0.320391        0.384007         1.03223         2.55464    
    0.335039        0.389501         1.06168         2.58655    
    0.349744        0.395040         1.09195         2.61885    
    0.364504        0.400621         1.12300         2.65157    
    0.379325        0.406247         1.15505         2.68469    
    0.394199        0.411910         1.18759         2.71825    
    0.409137        0.417628         1.22122         2.75222    
    0.424136        0.423383         1.25573         2.78663    
    0.439214        0.429212         1.29172         2.82145    
    0.454324        0.435033         1.32763         2.85676    
    0.469515        0.440948         1.36507         2.89247    
    0.484767        0.446870         1.40331         2.92867    
    0.500095        0.452878         1.44287         2.96530    
    0.515494        0.458914         1.48352         3.00239    
    0.530958        0.465000         1.52514         3.03996    
    0.546486        0.471123         1.56773         3.07801    
    0.562107        0.477325         1.61191         3.11651    
    0.577786        0.483541         1.65694         3.15554    
    0.593548        0.489826         1.70336         3.19503    
    0.609392        0.496152         1.75109         3.23503    
    0.625308        0.502527         1.80012         3.27552    
    0.641311        0.508951         1.85057         3.31652    
    0.657398        0.515433         1.90235         3.35806    
    0.673559        0.521943         1.95549         3.40011    
    0.689813        0.528517         2.01025         3.44268    
    0.706157        0.535139         2.06648         3.48580    
    0.722589        0.541809         2.12431         3.52946    
    0.739123        0.548539         2.18392         3.57366    
    0.755719        0.555286         2.24475         3.61846    
    0.772436        0.562112         2.30772         3.66376    
    0.789249        0.568976         2.37242         3.70966    
    0.806156        0.575891         2.43893         3.75611    
    0.823144        0.582831         2.50708         3.80320    
    0.840266        0.589864         2.57752         3.85085    
    0.857491        0.596928         2.65001         3.89909    
    0.874784        0.604012         2.72408         3.94799    
    0.892203        0.611162         2.80054         3.99746    
    0.909762        0.618388         2.87955         4.04754    
    0.927400        0.625607         2.96050         4.09826    
    0.945156        0.632912         3.04376         4.14964    
    0.963041        0.640259         3.12967         4.20165    
    0.981051        0.647652         3.21808         4.25432    
    0.999159        0.655072         3.30890         4.30764    
     1.01746        0.662607         3.40322         4.36157    
     1.03578        0.670077         3.49894         4.41632    
     1.05427        0.677649         3.59822         4.47166    
     1.07291        0.685264         3.70047         4.52775    
     1.09170        0.692950         3.80602         4.58450    
     1.11060        0.700643         3.91458         4.64193    
     1.12958        0.708342         4.02561         4.70020    
1
    0.336768        0.428977         1.16496         2.54702    
    0.351959        0.435074         1.19854         2.57876    
    0.367216        0.441209         1.23301         2.61089    
    0.382551        0.447397         1.26859         2.64342    
    0.397944        0.453612         1.30476         2.67638    
    0.413417        0.459890         1.34214         2.70975    
    0.428964        0.466201         1.38049         2.74355    
    0.444613        0.472591         1.42051         2.77773    
    0.460288        0.478961         1.46048         2.81243    
    0.476069        0.485436         1.50216         2.84750    
    0.491920        0.491908         1.54475         2.88307    
    0.507867        0.498479         1.58884         2.91904    
    0.523895        0.505062         1.63412         2.95548    
    0.540007        0.511720         1.68058         2.99238    
    0.556187        0.518378         1.72806         3.02977    
    0.572487        0.525142         1.77736         3.06760    
    0.588850        0.531902         1.82766         3.10592    
    0.605317        0.538739         1.87954         3.14472    
    0.621880        0.545614         1.93287         3.18402    
    0.638535        0.552547         1.98774         3.22379    
    0.655289        0.559515         2.04418         3.26407    
    0.672143        0.566539         2.10217         3.30487    
    0.689085        0.573593         2.16171         3.34619    
    0.706141        0.580708         2.22310         3.38800    
    0.723299        0.587862         2.28615         3.43037    
    0.740567        0.595077         2.35108         3.47326    
    0.757953        0.602334         2.41800         3.51667    
    0.775411        0.609608         2.48637         3.56068    
    0.793016        0.616964         2.55718         3.60519    
    0.810737        0.624356         2.63000         3.65028    
    0.828568        0.631797         2.70490         3.69593    
    0.846493        0.639254         2.78172         3.74217    
    0.864572        0.646792         2.86112         3.78898    
    0.882776        0.654363         2.94292         3.83637    
    0.901055        0.661941         3.02655         3.88439    
    0.919487        0.669586         3.11296         3.93300    
    0.938085        0.677308         3.20228         3.98221    
    0.956790        0.685043         3.29405         4.03203    
    0.975603        0.692803         3.38824         4.08252    
    0.994588        0.700636         3.48570         4.13358    
     1.01372        0.708505         3.58604         4.18533    
     1.03295        0.716370         3.68909         4.23771    
     1.05242        0.724384         3.79636         4.29067    
     1.07191        0.732305         3.90530         4.34448    
     1.09159        0.740315         4.01833         4.39881    
     1.11145        0.748359         4.13484         4.45392    
     1.13148        0.756478         4.25530         4.50962    
     1.15165        0.764594         4.37927         4.56604    
     1.17191        0.772709         4.50627         4.62331    
