



               TESTING THE FUNCTION ABRAM0

     ARGUMENT             ABS. ERROR             REL. ERROR
     ARGUMENT             ABS. ERROR             REL. ERROR
       0.0020            0.10588D-21            0.13080D-15
      -0.0078            0.16941D-20            0.13080D-15
       0.0625            0.10842D-18            0.13083D-15
      -0.2500            0.34694D-17            0.26268D-15
       1.0000            0.27756D-16            0.13986D-15
       1.2500            0.00000D+00            0.00000D+00
       2.0000            0.11102D-15            0.17166D-15
      -4.0000            0.22204D-15            0.20757D-15
       7.5000            0.22204D-15            0.57182D-15
       9.0000            0.33307D-15            0.44495D-15
       9.5000            0.11102D-15            0.13113D-15
     -12.0000            0.22204D-15            0.38031D-15
      17.0000            0.11102D-15            0.13774D-15
      25.0000            0.11102D-15            0.20605D-15
     -30.0000            0.11102D-15            0.15382D-15
      50.0000            0.22204D-15            0.38278D-15
      75.0000            0.44409D-15            0.73828D-15
     -80.0000            0.44409D-15            0.62892D-15
     100.0000            0.33307D-15            0.54042D-15
    -125.0000            0.55511D-15            0.88424D-15




               TESTING THE FUNCTION STRVL0

     ARGUMENT             ABS. ERROR             REL. ERROR
       0.0020            0.00000D+00            0.00000D+00
      -0.0313            0.69389D-17            0.34875D-15
       0.1250            0.13878D-16            0.17409D-15
      -0.5000            0.55511D-16            0.16963D-15
       1.0000            0.00000D+00            0.00000D+00
       2.0000            0.11102D-14            0.57304D-15
      -4.0000            0.00000D+00            0.00000D+00
       7.0000            0.14211D-12            0.84337D-15
     -10.0000            0.90949D-12            0.32301D-15
      16.0000            0.11642D-08            0.13030D-14
      16.2500            0.11642D-08            0.10228D-14
     -17.0000            0.46566D-09            0.19774D-15
      20.0000            0.74506D-08            0.17105D-15
      22.5000            0.00000D+00            0.00000D+00
     -25.0000            0.76294D-05            0.13212D-14
      30.0000            0.97656D-03            0.12493D-14
     -40.0000            0.20000D+01            0.13428D-15
      50.0000            0.45875D+06            0.15643D-14
      60.0000            0.12885D+11            0.21861D-14
     -70.0000            0.77406D+15            0.64419D-14




               TESTING THE FUNCTION STRVL1

     ARGUMENT             ABS. ERROR             REL. ERROR
       0.0020            0.00000D+00            0.00000D+00
      -0.0313            0.00000D+00            0.00000D+00
       0.1250            0.86736D-18            0.26132D-15
      -0.5000            0.20817D-16            0.38591D-15
       1.0000            0.00000D+00            0.00000D+00
       2.0000            0.00000D+00            0.00000D+00
      -4.0000            0.17764D-14            0.19373D-15
       7.0000            0.14211D-12            0.91437D-15
     -10.0000            0.27285D-11            0.10218D-14
      16.0000            0.15250D-07            0.17629D-13
      16.2500            0.00000D+00            0.00000D+00
     -17.0000            0.46566D-09            0.20382D-15
      20.0000            0.37253D-07            0.87747D-15
      22.5000            0.59605D-07            0.12197D-15
     -25.0000            0.76294D-05            0.13485D-14
      30.0000            0.36621D-03            0.47651D-15
     -40.0000            0.44000D+02            0.29917D-14
      50.0000            0.32768D+05            0.11287D-15
      60.0000            0.10737D+10            0.18371D-15
     -70.0000            0.38703D+15            0.32442D-14




               TESTING THE FUNCTION SYNCH1

     ARGUMENT             ABS. ERROR             REL. ERROR
       0.0020            0.55511D-16            0.20936D-15
       0.0313            0.88818D-15            0.14314D-14
       0.1250            0.11102D-15            0.13044D-15
       0.5000            0.99920D-15            0.11474D-14
       1.0000            0.55511D-15            0.85215D-15
       1.5000            0.16653D-14            0.36955D-14
       2.0000            0.22204D-15            0.73613D-15
       2.5000            0.62450D-14            0.31517D-13
       3.0000            0.24425D-14            0.18998D-13
       4.0000            0.45658D-13            0.86428D-12
       4.2500            0.69389D-17            0.16467D-15
       5.0000            0.10408D-16            0.48985D-15
       5.5000            0.12143D-16            0.90618D-15
       6.0000            0.17347D-17            0.20588D-15
       8.0000            0.43368D-18            0.33659D-15
      10.0000            0.54210D-19            0.28199D-15
      12.0000            0.20329D-19            0.72034D-15
      15.0000            0.42352D-21            0.27238D-15
      20.0000            0.18198D-22            0.15205D-14
      25.0000            0.90473D-25            0.10101D-14




               TESTING THE FUNCTION SYNCH2

     ARGUMENT             ABS. ERROR             REL. ERROR
       0.0020            0.16653D-15            0.12399D-14
       0.0313            0.72164D-15            0.21551D-14
       0.1250            0.99920D-15            0.19824D-14
       0.5000            0.14433D-14            0.23937D-14
       1.0000            0.16098D-14            0.32556D-14
       1.5000            0.72164D-15            0.20026D-14
       2.0000            0.44409D-15            0.17786D-14
       2.5000            0.40523D-14            0.24101D-13
       3.0000            0.46768D-14            0.42069D-13
       4.0000            0.17090D-13            0.36422D-12
       4.2500            0.20817D-16            0.55327D-15
       5.0000            0.69389D-17            0.36098D-15
       5.5000            0.34694D-17            0.28416D-15
       6.0000            0.86736D-18            0.11228D-15
       8.0000            0.43368D-18            0.36053D-15
      10.0000            0.10842D-18            0.59699D-15
      12.0000            0.33881D-19            0.12603D-14
      15.0000            0.10588D-20            0.70859D-15
      20.0000            0.82718D-23            0.71261D-15
      25.0000            0.14217D-24            0.16274D-14




               TESTING THE FUNCTION TRAN02

